#AMS02 (2011/05-2016/05)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
He 2.580291e+00 2.434506e+00 2.733393e+00 2.186392e+01 2.074376e-02 2.074376e-02 2.904126e-01 2.904126e-01 2.911525e-01 2.911525e-01
He 2.294673e+00 2.161654e+00 2.434506e+00 2.678170e+01 2.089056e-02 2.089056e-02 3.760302e-01 3.760302e-01 3.766100e-01 3.766100e-01
He 2.032619e+00 1.910089e+00 2.161654e+00 3.269807e+01 2.106834e-02 2.106834e-02 4.635036e-01 4.635036e-01 4.639822e-01 4.639822e-01
He 1.791907e+00 1.679875e+00 1.910089e+00 3.980271e+01 2.128487e-02 2.128487e-02 5.534066e-01 5.534066e-01 5.538158e-01 5.538158e-01
He 1.572578e+00 1.471031e+00 1.679875e+00 4.811592e+01 2.154766e-02 2.154766e-02 6.895250e-01 6.895250e-01 6.898616e-01 6.898616e-01
He 3.992361e+00 3.790793e+00 4.203201e+00 9.605639e+00 6.110457e-03 6.110457e-03 1.262828e-01 1.262828e-01 1.264305e-01 1.264305e-01
He 1.195577e+00 1.112701e+00 1.283506e+00 6.863682e+01 4.449713e-02 4.449713e-02 9.566883e-01 9.566883e-01 9.577226e-01 9.577226e-01
He 1.033278e+00 9.586237e-01 1.112701e+00 8.098730e+01 4.543467e-02 4.543467e-02 1.090432e+00 1.090432e+00 1.091378e+00 1.091378e+00
He 8.876902e-01 8.211929e-01 9.586237e-01 9.468308e+01 6.985963e-02 6.985963e-02 1.280760e+00 1.280760e+00 1.282664e+00 1.282664e+00
He 7.564753e-01 6.961003e-01 8.211929e-01 1.093973e+02 7.195611e-02 7.195611e-02 1.463108e+00 1.463108e+00 1.464876e+00 1.464876e+00
He 6.397815e-01 5.873772e-01 6.961003e-01 1.254324e+02 7.451430e-02 7.451430e-02 1.763505e+00 1.763505e+00 1.765079e+00 1.765079e+00
He 5.371891e-01 4.907267e-01 5.873772e-01 1.441629e+02 1.034909e-01 1.034909e-01 2.302673e+00 2.302673e+00 2.304997e+00 2.304997e+00
He 4.465990e-01 4.059623e-01 4.907267e-01 1.619900e+02 1.357155e-01 1.357155e-01 3.691462e+00 3.691462e+00 3.693956e+00 3.693956e+00
He 8.481654e+00 8.116039e+00 8.862353e+00 1.839238e+00 1.607901e-03 1.607901e-03 2.431951e-02 2.431951e-02 2.437261e-02 2.437261e-02
He 1.648072e+01 1.584382e+01 1.714195e+01 3.565111e-01 4.005743e-04 4.005743e-04 4.806892e-03 4.806892e-03 4.823554e-03 4.823554e-03
