#AMS02 (2011/05-2017/11)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
e+ 2.470000e+00 2.310000e+00 2.650000e+00 5.341000e-01 1.600000e-03 1.600000e-03 6.800000e-03 6.800000e-03 6.985700e-03 6.985700e-03
e+ 6.260000e+00 6.000000e+00 6.540000e+00 4.923000e-02 2.000000e-04 2.000000e-04 6.000000e-04 6.000000e-04 6.324555e-04 6.324555e-04
e+ 5.740000e+00 5.490000e+00 6.000000e+00 6.278000e-02 2.500000e-04 2.500000e-04 7.600000e-04 7.600000e-04 8.000625e-04 8.000625e-04
e+ 5.240000e+00 5.000000e+00 5.490000e+00 8.208000e-02 3.100000e-04 3.100000e-04 9.900000e-04 9.900000e-04 1.037401e-03 1.037401e-03
e+ 4.760000e+00 4.540000e+00 5.000000e+00 1.069000e-01 4.000000e-04 4.000000e-04 1.300000e-03 1.300000e-03 1.360147e-03 1.360147e-03
e+ 4.320000e+00 4.120000e+00 4.540000e+00 1.389000e-01 5.000000e-04 5.000000e-04 1.600000e-03 1.600000e-03 1.676305e-03 1.676305e-03
e+ 3.920000e+00 3.730000e+00 4.120000e+00 1.809000e-01 6.000000e-04 6.000000e-04 2.100000e-03 2.100000e-03 2.184033e-03 2.184033e-03
e+ 3.540000e+00 3.360000e+00 3.730000e+00 2.338000e-01 8.000000e-04 8.000000e-04 2.800000e-03 2.800000e-03 2.912044e-03 2.912044e-03
e+ 3.170000e+00 3.000000e+00 3.360000e+00 3.024000e-01 1.000000e-03 1.000000e-03 3.600000e-03 3.600000e-03 3.736308e-03 3.736308e-03
e+ 2.820000e+00 2.650000e+00 3.000000e+00 3.983000e-01 1.300000e-03 1.300000e-03 4.900000e-03 4.900000e-03 5.069517e-03 5.069517e-03
e+ 6.810000e+00 6.540000e+00 7.100000e+00 3.890000e-02 1.700000e-04 1.700000e-04 4.800000e-04 4.800000e-04 5.092151e-04 5.092151e-04
e+ 2.150000e+00 2.000000e+00 2.310000e+00 7.003000e-01 2.200000e-03 2.200000e-03 9.500000e-03 9.500000e-03 9.751410e-03 9.751410e-03
e+ 1.850000e+00 1.720000e+00 2.000000e+00 9.239000e-01 3.200000e-03 3.200000e-03 1.390000e-02 1.390000e-02 1.426359e-02 1.426359e-02
